id,lat,lon,city,state
72585,13.311734,76.955836,Tumkur,Karnataka
72588,13.315012,77.14489,Tumkur,Karnataka
72629,13.369421,78.57106,Chittoor,Andhra Pradesh
72636,13.385977,77.095419,Tumkur,Karnataka
72711,13.614719,79.43606,Chittoor,Andhra Pradesh
72728,13.633627,79.421036,Tirupati,Andhra Pradesh
72735,13.642982,79.512939,Chittoor,Andhra Pradesh
72745,13.654691,78.946986,Chittoor,Andhra Pradesh
72848,14.028243,80.034859,Nellore,Andhra Pradesh
72979,14.425621,79.973688,Nellore,Andhra Pradesh
73067,14.581992,78.65879,Cuddapah,Andhra Pradesh
73110,14.686823,77.583917,Anantapur,Andhra Pradesh
73152,14.74382,78.563435,Cuddapah,Andhra Pradesh
73167,14.797622,77.007868,Anantapur,Andhra Pradesh
73305,15.134464,76.919346,Anantapur,Andhra Pradesh
73323,15.154372,76.910502,Bellary,Karnataka
73331,15.160425,76.915189,Bellary,Karnataka
73393,15.333403,75.122732,Hubballi-Dharwad,Karnataka
73405,15.343909,75.135189,Hubballi-Dharwad,Karnataka
73407,15.349799,75.137642,Hubballi-Dharwad,Karnataka
73410,15.350959,75.114629,Hubballi-Dharwad,Karnataka
73412,15.35116,75.103317,Belgaum,Karnataka
73415,15.352814,75.139491,Hubballi-Dharwad,Karnataka
73416,15.354901,75.135253,Hubballi-Dharwad,Karnataka
73419,15.356691,75.136906,Hubballi-Dharwad,Karnataka
73421,15.35816,75.128062,Hubballi-Dharwad,Karnataka
73422,15.358315,75.146818,Hubballi-Dharwad,Karnataka
73425,15.359476,75.108365,Hubballi-Dharwad,Karnataka
73431,15.365642,75.122885,Hubballi-Dharwad,Karnataka
73439,15.380135,78.947299,Cuddapah,Andhra Pradesh
73440,15.380454,75.12758,Hubballi-Dharwad,Karnataka
73471,15.421975,74.742083,Hubballi-Dharwad,Karnataka
73493,15.454519,75.008316,Hubballi-Dharwad,Karnataka
73526,15.528498,80.048593,Prakasam,Andhra Pradesh
73552,15.583091,76.651884,Bellary,Karnataka
73618,15.763782,76.754975,Raichur,Karnataka
73637,15.810263,80.396064,Guntur,Andhra Pradesh
73649,15.830413,74.49971,Belgaum,Karnataka
73650,15.833777,78.047322,Kurnool,Andhra Pradesh
73671,15.865494,74.508671,Belgaum,Karnataka
73681,15.875645,74.512627,Belgaum,Karnataka
73732,16.017892,80.826306,Vijayawada/Krishna,Andhra Pradesh
73751,16.057113,80.54605,Guntur,Andhra Pradesh
73752,16.061409,80.550071,Guntur,Andhra Pradesh
73756,16.066766,80.551244,Guntur,Andhra Pradesh
73760,16.073864,80.548832,Guntur,Andhra Pradesh
73764,16.097405,80.784529,Guntur,Andhra Pradesh
73786,16.166606,77.007535,Raichur,Karnataka
73825,16.215507,74.515259,Belgaum,Karnataka
73833,16.233634,80.045654,Guntur,Andhra Pradesh
73838,16.23836,80.043003,Guntur,Andhra Pradesh
73866,16.291737,80.439785,Guntur,Andhra Pradesh
73889,16.308749,80.43554,Guntur,Andhra Pradesh
73895,16.314691,80.358709,Guntur,Andhra Pradesh
73947,16.39406,75.108634,Belgaum,Karnataka
74053,16.506878,80.645033,Vijayawada/Krishna,Andhra Pradesh
74058,16.509155,80.624457,Vijayawada/Krishna,Andhra Pradesh
74087,16.517271,80.645229,Vijayawada/Krishna,Andhra Pradesh
74097,16.524405,80.679902,Guntur,Andhra Pradesh
74192,16.635221,80.970536,Vijayawada/Krishna,Andhra Pradesh
74365,16.813178,74.569854,Sangli-Miraj&Kupwad,Maharashtra
74463,16.902208,74.510136,Satara,Maharashtra
74501,16.944389,81.953107,East Godavari,Andhra Pradesh
74529,16.962702,82.234449,East Godavari,Andhra Pradesh
74577,17.008898,81.780425,East Godavari,Andhra Pradesh
74602,17.026304,74.817375,Sangli-Miraj&Kupwad,Maharashtra
74819,17.251211,80.104517,Khammam,Andhra Pradesh
74822,17.251423,80.157491,Khammam,Andhra Pradesh
74950,17.337861,76.844774,Gulbarga,Karnataka
74952,17.338241,78.549667,Hyderabad,Telangana
74968,17.342672,78.5563,Hyderabad,Telangana
74991,17.352944,82.531463,East Godavari,Andhra Pradesh
75028,17.367469,78.539106,Hyderabad,Telangana
75044,17.372561,78.565314,Hyderabad,Telangana
75063,17.381159,78.557852,K.V.Rangareddy,Andhra Pradesh
75069,17.381931,78.472161,Hyderabad,Telangana
75077,17.385835,78.55823,Hyderabad,Telangana
75079,17.386851,78.559006,Hyderabad,Telangana
75090,17.390818,78.490103,Hyderabad,Telangana
75097,17.394115,78.559221,Hyderabad,Telangana
75098,17.394231,78.511054,Hyderabad,Telangana
75103,17.395531,78.430811,K.V.Rangareddy,Andhra Pradesh
75112,17.400765,78.55516,Hyderabad,Telangana
75129,17.405685,78.513322,K.V.Rangareddy,Andhra Pradesh
75136,17.408367,78.401002,Hyderabad,Telangana
75161,17.426277,78.414835,K.V.Rangareddy,Andhra Pradesh
75163,17.426384,78.414926,K.V.Rangareddy,Andhra Pradesh
75164,17.426849,78.531537,Hyderabad,Telangana
75165,17.427036,78.530323,Hyderabad,Telangana
75176,17.431665,78.55381,K.V.Rangareddy,Andhra Pradesh
75197,17.440736,78.391405,K.V.Rangareddy,Andhra Pradesh
75205,17.442615,78.495362,Hyderabad,Telangana
75216,17.445894,78.514009,K.V.Rangareddy,Andhra Pradesh
75230,17.452269,78.553757,Hyderabad,Telangana
75249,17.4607,78.385473,Hyderabad,Telangana
75259,17.465566,78.36243,K.V.Rangareddy,Andhra Pradesh
75265,17.466645,78.562847,Hyderabad,Telangana
75278,17.471418,78.50978,Hyderabad,Telangana
75294,17.481646,78.408549,Hyderabad,Telangana
75296,17.482847,78.551912,Hyderabad,Telangana
75299,17.485487,78.319801,Hyderabad,Telangana
75301,17.487531,78.410338,Hyderabad,Telangana
75314,17.496458,78.396275,Hyderabad,Telangana
75318,17.496863,78.363711,Hyderabad,Telangana
75321,17.498287,78.388709,K.V.Rangareddy,Andhra Pradesh
75322,17.498786,78.412958,Hyderabad,Telangana
75332,17.50761,78.396357,Hyderabad,Telangana
75349,17.517795,78.379779,Hyderabad,Telangana
75381,17.541,78.394298,Hyderabad,Telangana
